priority,rank,name,url,focus,feature,evidence,source,source_page
1550,U,Foam Talent 2020,https://www.awwwards.com/sites/foam-talent-2020,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=68
1551,U,Worthitdocs,https://www.awwwards.com/sites/worthitdocs,layout,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=68
1553,U,Spain Collection,https://www.awwwards.com/sites/spain-collection,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=68
1557,U,Mammut Expedition Baikal,https://www.awwwards.com/sites/mammut-expedition-baikal,typography,映像・音声,Photo & Video / Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=68
1558,U,Physics of Beauty,https://www.awwwards.com/sites/physics-of-beauty,motion,映像・音声,Music & Sound,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=68
1559,U,ChiviChivi,https://www.awwwards.com/sites/chivichivi,ecommerce,映像・音声,Music & Sound,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=69
1561,U,Medal of Honor: Above & Beyond,https://www.awwwards.com/sites/medal-of-honor-above-beyond,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=69
1565,U,Huluween: The Screamlands,https://www.awwwards.com/sites/huluween-the-screamlands,motion,映像・音声,Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=69
1566,U,aircord,https://www.awwwards.com/sites/aircord,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=69
1582,U,Carnival with Spotify,https://www.awwwards.com/sites/carnival-with-spotify,motion,映像・音声,Music & Sound / Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=69
1585,U,Blindsight,https://www.awwwards.com/sites/blindsight,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=69
1588,U,House of Maserati,https://www.awwwards.com/sites/house-of-maserati,motion,映像・音声,Sound-Audio / Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=69
1591,U,Dark: Official Netflix Guide,https://www.awwwards.com/sites/dark-official-netflix-guide,motion,映像・音声,Sound-Audio,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=70
1596,U,Goliath Entertainment,https://www.awwwards.com/sites/goliath-entertainment,motion,映像・音声,Music & Sound,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=70
1597,U,Lamadone,https://www.awwwards.com/sites/lamadone,motion,映像・音声,Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=70
1602,U,WHEN WE WERE KIDS PRODUCTION,https://www.awwwards.com/sites/when-we-were-kids,motion,映像・音声,Photo & Video,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=70
1607,U,Brews and Grooves,https://www.awwwards.com/sites/brews-and-grooves,motion,映像・音声,Music & Sound,Awwwards — Sites of the Day,https://www.awwwards.com/websites/sites_of_the_day/?page=70
